Designator,Mid X,Mid Y,Rotation,Layer
C1,136.3472,-61.6571,270.0,top
C10,154.005357,-67.8688,0.0,top
C11,143.8656,-69.3928,180.0,top
C12,154.564157,-73.624926,0.0,top
C13,143.337357,-73.624926,180.0,top
C14,149.502367,-78.0288,270.0,top
C15,154.005357,-69.6976,0.0,top
C16,154.005357,-68.7832,0.0,top
C2,147.1168,-78.7908,0.0,top
C3,150.182367,-81.368,270.0,top
C4,141.4272,-61.722,270.0,top
C5,133.063352,-62.5348,270.0,top
C6,138.0236,-66.5988,180.0,top
C7,150.4696,-78.0288,270.0,top
C8,150.7744,-67.31,90.0,top
C9,138.0236,-65.6336,180.0,top
D1,117.1847,-61.286745,180.0,top
D10,227.3997,-122.3264,90.0,top
D12,227.419,-74.8212,90.0,top
D13,209.612,-61.1574,180.0,top
D14,176.9694,-61.1381,180.0,top
D2,84.4987,-61.2905,180.0,top
D3,66.8847,-74.8212,270.0,top
D5,66.8847,-122.3264,270.0,top
D6,84.4298,-135.7119,0.0,top
D7,116.5132,-135.6926,0.0,top
D8,177.9673,-135.7119,0.0,top
D9,209.6576,-135.7119,0.0,top
F1,174.3456,-64.386,90.0,top
F2,182.5752,-130.6576,0.0,top
R1,122.808552,-63.6778,270.0,top
R10,157.5308,-70.4088,180.0,top
R11,157.5308,-69.4436,180.0,top
R2,121.843352,-63.6778,270.0,top
R3,146.558,-65.1256,0.0,top
R4,146.558,-64.1604,0.0,top
R5,148.5392,-78.3336,90.0,top
R6,154.0256,-66.9036,0.0,top
R7,157.226,-66.9036,0.0,top
R8,165.5572,-66.9036,180.0,top
R9,170.1292,-66.9036,0.0,top
SW1-1,220.185187,-80.9874,0.0,bottom
SW1-2,202.185187,-68.4974,180.0,bottom
SW1-3,183.685187,-68.4974,180.0,bottom
SW1-4,165.185187,-76.7474,180.0,bottom
SW1-5,147.185187,-89.1974,180.0,bottom
SW1-6,129.205187,-76.7374,180.0,bottom
SW1-7,110.705187,-68.4874,180.0,bottom
SW1-8,92.205187,-68.4874,180.0,bottom
SW1-9,74.205187,-80.9774,180.0,bottom
SW18,87.792,-126.8654,90.0,top
SW19,82.7302,-126.8654,90.0,top
SW2-2,202.1852,-86.994,0.0,bottom
SW2-3,183.6852,-86.994,0.0,bottom
SW2-4,165.1852,-95.244,0.0,bottom
SW2-6,129.195187,-95.2374,0.0,bottom
SW2-7,110.695187,-86.9874,0.0,bottom
SW2-8,92.195187,-86.9874,0.0,bottom
SW20,92.8388,-126.9162,90.0,top
SW21,102.338,-126.9162,180.0,top
SW3-5,169.580187,-127.9606,0.0,bottom
SW3-6,147.2188,-127.9546,0.0,bottom
SW3-7,124.685187,-127.9506,0.0,bottom
SW4-1,170.18,-134.4402,0.0,top
SW4-2,135.7884,-134.4476,0.0,top
SW4-3,147.2184,-134.4476,0.0,top
SW4-4,158.6992,-134.4476,0.0,top
SW4-5,124.3436,-134.4402,0.0,top
U1,138.8872,-62.1651,180.0,top
U2,127.939352,-64.4906,270.0,top
U3,148.9406,-72.385,0.0,top
USB1,155.3932,-57.918274,180.0,top
USB2,168.0972,-57.9151,180.0,top
USB3,187.4136,-127.1016,90.0,top
Y1,147.832367,-81.368,270.0,top
